"id";"is_obstructed";"is_skewed";"is_overload_motor";"created_at";"active";"updated_at";"rack_id"
1;1;0;0;"2023-07-12 19:58:41.000000";1;"2023-07-12 19:58:41.000000";1
2;1;0;0;"2023-07-12 19:58:47.000000";1;"2023-07-12 19:58:47.000000";1
3;1;0;0;"2023-07-12 20:01:33.000000";1;"2023-07-12 20:01:33.000000";1
4;1;0;0;"2023-07-12 20:01:39.000000";1;"2023-07-12 20:01:39.000000";1
5;0;0;1;"2023-07-21 21:39:47.000000";1;"2023-07-21 21:39:47.000000";1
6;0;0;1;"2023-07-21 21:39:53.000000";1;"2023-07-21 21:39:53.000000";1
7;0;0;1;"2023-07-21 19:29:47.000000";1;"2023-07-21 19:29:47.000000";1
8;0;0;1;"2023-07-21 19:29:53.000000";1;"2023-07-21 19:29:53.000000";1
9;0;1;1;"2023-07-21 19:29:58.000000";1;"2023-07-21 19:29:58.000000";1
10;0;1;1;"2023-07-21 19:29:59.000000";1;"2023-07-21 19:29:59.000000";1
11;0;1;0;"2023-07-21 19:30:28.000000";1;"2023-07-21 19:30:28.000000";1
12;0;1;0;"2023-07-21 19:30:34.000000";1;"2023-07-21 19:30:34.000000";1
13;0;1;0;"2023-07-21 22:04:41.000000";1;"2023-07-21 22:04:41.000000";91
14;0;1;0;"2023-07-21 22:04:47.000000";1;"2023-07-21 22:04:47.000000";91
15;0;1;0;"2023-07-27 19:53:45.000000";1;"2023-07-27 19:53:45.000000";20
16;0;1;0;"2023-07-27 19:53:51.000000";1;"2023-07-27 19:53:51.000000";20
17;0;1;0;"2023-07-27 19:53:57.000000";1;"2023-07-27 19:53:57.000000";20
18;0;1;0;"2023-07-27 19:54:03.000000";1;"2023-07-27 19:54:03.000000";20
19;0;1;0;"2023-07-27 19:54:09.000000";1;"2023-07-27 19:54:09.000000";20
